,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
277,Dunedin,100,NZ,1619290127,81,-45.8742,170.5036,48.0,7.0
278,Kahului,40,US,1619290128,100,20.8947,-156.47,73.0,12.66
279,Shīeli,3,KZ,1619290129,25,44.1667,66.75,63.54,11.7
280,Jalalabad,60,AF,1619290131,22,34.4265,70.4515,73.13,0.96
281,Zhicheng,100,CN,1619290132,94,30.2956,111.5047,55.99,4.76
282,Itapema,20,BR,1619290065,73,-27.0903,-48.6114,80.01,11.5
283,Bud,100,US,1619290135,88,39.447,-86.1758,53.01,6.85
284,Ambon City,40,ID,1619290136,94,-3.6954,128.1814,77.0,5.75
285,Mareeba,75,AU,1619290137,100,-17.0,145.4333,73.4,11.5
286,Cabo San Lucas,1,MX,1619290055,41,22.8909,-109.9124,84.2,11.5
287,Halkirk,7,CA,1619290140,30,52.2834,-112.1518,39.2,5.75
288,Korla,0,CN,1619290141,42,41.7597,86.1469,50.16,12.08
289,Porto Torres,0,IT,1619290142,59,40.835,8.3972,60.8,4.61
290,Taltal,49,CL,1619290144,71,-25.4,-70.4833,64.72,4.76
291,Gao,1,ML,1619290145,5,16.6362,1.637,92.68,8.55
292,Husavik,0,IS,1619290146,62,66.0449,-17.3389,51.8,10.36
293,Mount Gambier,75,AU,1619290148,100,-37.8333,140.7667,50.0,5.75
294,Haines Junction,15,CA,1619290149,39,60.7522,-137.5108,42.8,2.3
295,Mahébourg,75,MU,1619290150,83,-20.4081,57.7,78.8,17.27
296,Mastic Beach,1,US,1619290152,28,40.7668,-72.8521,68.0,13.8
297,Bambanglipuro,17,ID,1619290153,83,-7.95,110.2833,75.18,3.15
298,Saint Anthony,90,US,1619290154,56,45.0205,-93.218,43.0,8.05
299,Korem,100,ET,1619290156,42,12.5058,39.5228,63.54,7.47
300,Verkhnevilyuysk,100,RU,1619290157,93,63.4453,120.3167,31.08,5.55
301,Necochea,85,AR,1619290158,73,-38.5473,-58.7368,63.0,5.01
302,Weinan,40,CN,1619290159,87,34.5036,109.5089,53.6,8.95
303,Vitim,100,RU,1619290161,98,59.4511,112.5578,22.08,2.1
304,Seoul,0,KR,1619290137,93,37.5683,126.9778,53.6,2.3
305,Timberlake,90,US,1619290163,47,37.3207,-79.2575,57.2,3.87
306,Azángaro,20,PE,1619290164,13,-14.9167,-70.2167,66.2,20.71
307,Iqaluit,75,CA,1619290166,75,63.7506,-68.5145,35.6,4.61
308,Yenagoa,96,NG,1619290167,78,4.9247,6.2642,78.46,4.92
309,Constitución,6,CL,1619290168,57,-35.3333,-72.4167,65.1,16.26
310,Tiznit Province,3,MA,1619290169,63,29.5833,-9.5,60.39,9.91
311,Ixtapa,75,MX,1619290171,57,20.7,-105.2,82.4,9.22
312,Lavrentiya,93,RU,1619290172,88,65.5833,-171.0,28.24,1.28
313,Namwala,32,ZM,1619290173,52,-15.7504,26.4384,66.7,5.93
314,Río Gallegos,0,AR,1619290175,36,-51.6226,-69.2181,60.8,6.91
315,Preobrazheniye,0,RU,1619290176,66,42.9019,133.9064,37.87,7.18
316,Rawson,14,AR,1619290177,45,-43.3002,-65.1023,60.51,0.74
317,Province of Trapani,0,IT,1619290179,82,37.8333,12.6667,60.8,9.22
318,Khasan,0,RU,1619290180,64,42.4308,130.6434,42.1,8.16
319,Bella Vista,90,US,1619290181,94,36.4295,-94.2316,57.2,12.66
320,Tura,100,IN,1619290183,35,25.5198,90.2201,75.25,3.51
321,Ancud,75,CL,1619290184,72,-41.8697,-73.8203,62.01,11.5
322,Seydi,98,TM,1619290185,30,39.4816,62.9137,76.55,7.31
323,Ostrovnoy,100,RU,1619290186,99,68.0531,39.5131,36.19,4.54
324,Coahuayana Viejo,40,MX,1619289919,30,18.7333,-103.6833,86.0,8.23
325,Salalah,17,OM,1619290189,75,17.0151,54.0924,82.18,6.44
326,Bayan,3,CN,1619290190,32,46.0833,127.4,41.04,8.46
327,Pangnirtung,1,CA,1619290191,75,66.1451,-65.7125,33.8,11.5
328,Bantacan,85,PH,1619290193,92,7.604,126.1298,73.96,1.03
329,Auki,76,SB,1619290194,86,-8.7676,160.7034,77.05,2.93
330,Abbeville,0,FR,1619290195,66,50.1,1.8333,53.6,11.5
331,Patrocínio,0,BR,1619290196,32,-18.9439,-46.9925,84.0,4.61
332,Daru,100,PG,1619290198,91,-9.0763,143.2092,77.2,7.34
333,Biak,95,ID,1619290199,77,-0.9131,122.8766,76.75,5.73
334,Turukhansk,100,RU,1619290200,99,65.8167,87.9833,31.82,5.23
335,Coyhaique,75,CL,1619290202,67,-45.5752,-72.0662,55.4,3.44
336,Viga,79,PH,1619290204,89,13.8719,124.3091,75.74,3.58
337,Malinyi,100,TZ,1619290205,97,-8.9333,36.1333,70.9,0.72
338,Srednekolymsk,100,RU,1619290207,95,67.45,153.6833,11.3,8.63
339,Tena,75,EC,1619290208,83,-0.9833,-77.8167,80.6,4.61
340,Kabompo,71,ZM,1619290209,59,-13.5927,24.2008,69.67,2.82
341,Guerrero Negro,3,MX,1619289973,57,27.9769,-114.0611,67.15,15.05
342,Mayskiy,0,RU,1619290212,49,47.6931,40.1025,48.2,8.95
343,Bambous Virieux,75,MU,1619290213,83,-20.3428,57.7575,79.0,17.27
344,Seybaplaya,20,MX,1619290214,39,19.65,-90.6667,98.6,9.22
345,Port Macquarie,0,AU,1619290216,90,-31.4333,152.9167,53.01,1.01
346,Poli,88,TZ,1619290217,85,-3.3333,36.8,63.01,1.92
347,Tahoua,0,NE,1619290218,5,14.8888,5.2692,104.0,4.61
348,La Ronge,100,CA,1619290220,46,55.1001,-105.2842,26.6,5.75
349,Nouadhibou,0,MR,1619290221,73,20.931,-17.0347,69.8,21.85
350,Bata,40,GQ,1619290222,89,1.8639,9.7658,80.6,2.3
351,Tabatinga,75,BR,1619290223,74,-4.2525,-69.9381,84.2,4.61
352,Vila Franca do Campo,40,PT,1619290225,82,37.7167,-25.4333,59.0,16.11
353,Santa Cecília,90,BR,1619290226,49,-26.9608,-50.4269,71.8,2.08
354,Trairi,100,BR,1619290227,87,-3.2778,-39.2689,80.33,9.71
355,Itupiranga,75,BR,1619290229,62,-5.1347,-49.3267,84.2,4.61
356,Salta,75,AR,1619290155,82,-24.7859,-65.4117,64.99,4.61
357,Westport,1,US,1619290231,30,41.1415,-73.3579,68.0,16.11
358,Qasigiannguit,40,GL,1619290232,60,68.8193,-51.1922,41.0,3.44
359,Esperanza,21,DO,1619290233,53,19.5847,-70.9849,90.0,8.99
360,Pilar,20,BR,1619290235,66,-9.5972,-35.9567,86.0,9.22
361,Bandarbeyla,81,SO,1619290236,75,9.4942,50.8122,83.55,8.34
362,Aizkraukle,52,LV,1619290237,93,56.6048,25.2553,33.01,8.01
363,Mehamn,100,NO,1619290238,72,71.0357,27.8492,32.7,9.04
364,Raudeberg,68,NO,1619290240,72,61.9875,5.1352,37.99,16.75
365,Hamilton,90,US,1619290241,71,39.1834,-84.5333,53.6,3.44
366,Thunder Bay,90,CA,1619290242,64,48.4001,-89.3168,36.0,9.22
367,Djibouti,1,DJ,1619290244,74,11.5,42.5,84.2,15.32
368,Batemans Bay,68,AU,1619290245,91,-35.7167,150.1833,52.0,1.99
369,Farsund,0,NO,1619290246,62,58.0948,6.8047,46.99,13.56
370,Tottori-shi,99,JP,1619290247,86,35.5,134.2333,55.36,4.59
371,Montepuez,100,MZ,1619290249,97,-13.1256,38.9997,68.74,5.37
372,Los Chiles,99,CR,1619290250,49,11.0333,-84.7167,88.68,5.77
373,Sioux Lookout,75,CA,1619290184,40,50.1001,-91.917,33.8,9.22
374,Kamaishi,100,JP,1619290253,61,39.2667,141.8833,52.34,6.64
375,Monrovia,40,LR,1619290254,79,6.3005,-10.7969,86.0,6.91
376,Aswān,0,EG,1619290034,9,24.0934,32.907,88.45,15.19
377,Mersing,100,MY,1619290256,94,2.4312,103.8405,77.0,2.3
378,Buala,76,SB,1619290258,82,-8.145,159.5921,79.41,2.8
379,Placerville,75,US,1619290259,44,38.7296,-120.7986,61.0,5.75
380,Imbituba,20,BR,1619290260,65,-28.24,-48.6703,78.8,4.61
381,Andenes,20,NO,1619290261,69,69.3143,16.1194,35.01,11.5
382,Itoman,20,JP,1619290263,83,26.1247,127.6694,68.0,8.05
383,Fort Nelson,40,CA,1619290264,33,58.8053,-122.7002,41.0,5.75
384,Punta Alta,1,AR,1619290199,48,-38.8759,-62.0736,65.07,11.99
385,Vestmannaeyjar,90,IS,1619290266,87,63.4427,-20.2734,44.6,19.57
386,Luga,16,RU,1619290268,89,58.7372,29.8453,32.74,4.94
387,Geraldton,91,AU,1619290269,94,-28.7667,114.6,59.0,1.14
388,Novoagansk,100,RU,1619290270,99,61.9449,76.6625,33.98,2.77
389,Shumyachi,80,RU,1619290272,80,53.8583,32.4242,34.61,10.63
390,Port Augusta,0,AU,1619290273,88,-32.5,137.7667,57.2,5.75
391,Luwingu,98,ZM,1619290274,77,-10.2621,29.9271,65.73,4.32
392,Hong Kong,74,HK,1619290155,87,22.2855,114.1577,77.0,1.01
393,Äänekoski,75,FI,1619290276,93,62.6946,25.818,37.99,6.91
394,Ust-Tsilma,72,RU,1619290278,90,65.441,52.1498,41.9,4.65
395,Tutóia,40,BR,1619290279,79,-2.7619,-42.2744,86.0,16.11
396,Tambura,100,SS,1619290280,92,5.6,27.4667,69.51,5.88
397,Phan Thiet,59,VN,1619290282,82,10.9333,108.1,79.11,4.9
398,Thinadhoo,5,MV,1619290283,69,0.5333,72.9333,82.78,6.29
399,Huaicheng,100,CN,1619290284,91,23.9051,112.1931,74.64,1.57
400,Yaan,95,NG,1619290285,69,7.3833,8.5667,81.57,7.07
401,Turaif,75,SA,1619290287,20,31.6725,38.6637,82.4,20.71
402,Paamiut,100,GL,1619290288,73,61.994,-49.6678,38.86,8.37
403,Gizo Government Station,42,SB,1619290289,75,-8.103,156.8419,82.18,6.15
404,Bereda,99,ES,1619290291,94,43.2686,-7.5406,59.0,7.0
405,Samarai,88,PG,1619290292,78,-10.6167,150.6667,82.4,14.32
406,Abnūb,0,EG,1619290293,34,27.2696,31.1511,80.6,11.5
407,Tauragė,79,LT,1619290294,70,55.2522,22.2897,33.01,7.99
408,Sorong,63,ID,1619290296,86,-0.8833,131.25,78.28,6.8
409,Cap Malheureux,100,MU,1619290297,82,-19.9842,57.6142,79.0,11.01
410,Novyye Burasy,82,RU,1619290298,69,52.1324,46.0714,45.0,10.0
411,Grand Gaube,100,MU,1619290300,82,-20.0064,57.6608,79.0,11.01
412,San Quintín,15,MX,1619290301,66,30.4833,-115.95,64.09,16.82
413,Businga,97,CD,1619290302,79,3.3333,20.8833,76.37,0.83
414,Sabana de Torres,40,CO,1619290303,65,7.3915,-73.4957,80.6,9.22
415,Fortuna,90,US,1619290305,87,40.5982,-124.1573,54.0,4.61
416,Teeli,100,RU,1619290306,68,51.0333,90.2333,27.77,4.92
417,Kalach-na-Donu,0,RU,1619290307,76,48.691,43.5264,46.4,8.95
418,Faya,75,SA,1619290309,72,18.3851,42.4509,59.0,16.11
419,Cockburn Town,40,TC,1619290310,65,21.4612,-71.1419,82.4,13.8
420,Mago,27,RU,1619290311,96,53.2514,140.1822,21.97,2.1
421,Ushtobe,100,KZ,1619290313,40,45.2514,77.9838,40.12,11.95
422,Skibbereen,40,IE,1619290314,58,51.55,-9.2667,53.6,17.27
423,Halifax,22,CA,1619290212,27,44.6453,-63.5724,64.0,13.8
424,Abū Zabad,44,SD,1619290316,28,12.35,29.25,89.38,9.04
425,Bogdanovich,100,RU,1619290318,48,56.7803,62.0494,43.57,13.0
426,Am Timan,16,TD,1619290319,25,11.0297,20.2827,94.05,8.81
427,Lüderitz,7,NA,1619290320,85,-26.6481,15.1594,62.08,5.28
428,Miramar,75,US,1619290287,61,25.9873,-80.2323,86.0,19.57
429,Khartoum,3,SD,1619290083,21,15.5518,32.5324,97.0,1.99
430,Bonavista,83,CA,1619290324,53,48.6499,-53.1147,50.0,11.5
431,Bridlington,0,GB,1619290325,76,54.0831,-0.1919,45.0,4.0
432,Akdepe,0,TM,1619290326,29,42.0551,59.3788,64.4,9.22
433,Haverfordwest,4,GB,1619290328,73,51.8017,-4.9691,57.0,11.99
434,Chitral,5,PK,1619290329,36,35.8462,71.7858,55.2,5.68
435,Gouré,0,NE,1619290330,15,13.9835,10.2704,91.9,9.57
436,Tommot,99,RU,1619290331,97,58.9564,126.2925,29.43,5.57
437,Hasaki,20,JP,1619290333,93,35.7333,140.8333,50.0,4.61
438,Barra do Corda,100,BR,1619290334,89,-5.5,-45.25,82.0,3.22
439,Gunjur,99,GM,1619290335,65,13.2019,-16.7339,78.8,12.66
440,Velsk,60,RU,1619290336,71,61.0701,42.0983,47.71,7.54
441,Altamira,75,BR,1619290338,89,-3.2033,-52.2064,78.8,3.83
442,Katsina,26,NG,1619290339,20,12.9894,7.6006,89.49,2.48
443,Faanui,100,PF,1619290340,73,-16.4833,-151.75,80.44,9.69
444,Vorobyevka,12,RU,1619290342,70,50.6451,40.9245,39.33,12.39
445,Xingtai,100,CN,1619290343,65,37.0631,114.4942,56.55,9.4
446,Wattegama,20,LK,1619290344,100,6.7989,81.4808,77.0,2.3
447,Bowen,90,AU,1619290340,94,-20.0167,148.2333,68.0,11.5
448,Staryy Nadym,100,RU,1619290347,88,65.6118,72.6842,32.4,3.22
449,Daman,100,IN,1619290348,70,20.4167,72.85,83.21,3.02
450,Otuzco,75,PE,1619290349,82,-7.9,-78.5833,66.2,13.8
451,Eureka,100,US,1619290351,84,40.8021,-124.1637,53.01,8.99
452,Palenque/Temp,20,MX,1619290352,52,17.5167,-91.9667,93.2,6.93
453,Forsytheganj,77,BY,1619290353,73,52.6333,29.7333,35.24,9.89
454,Inírida,97,CO,1619290354,78,3.8653,-67.9239,84.88,0.81
455,Otorohanga,69,NZ,1619290356,99,-38.1833,175.2,48.99,1.72
456,Yulara,8,AU,1619290346,58,-25.2406,130.9889,53.6,6.91
457,Barra de Tecoanapa,97,MX,1619290358,55,16.5167,-98.75,85.69,10.71
458,Tegul'det,100,RU,1619290359,98,57.3064,88.1667,34.34,5.64
459,Benguela,100,AO,1619290361,83,-12.5763,13.4055,81.18,2.28
460,Fare,100,PF,1619290362,72,-16.7,-151.0167,79.93,6.51
461,Kalmunai,18,LK,1619290363,76,7.4167,81.8167,80.08,1.9
462,Beringovskiy,100,RU,1619290364,94,63.05,179.3167,30.27,5.88
463,Kumul,88,CN,1619290366,23,42.8,93.45,47.89,6.69
464,Enumclaw,100,US,1619290367,89,47.2043,-121.9915,50.0,5.99
465,Dogondoutchi,100,NE,1619290368,9,13.6393,4.0287,95.31,5.5
466,Makakilo City,1,US,1619290370,69,21.3469,-158.0858,78.8,6.91
467,Bubaque,15,GW,1619290371,69,11.2833,-15.8333,78.37,22.21
468,Hammerfest,75,NO,1619290372,80,70.6634,23.6821,30.2,11.5
469,Lebanon,90,US,1619290183,88,36.2081,-86.2911,60.01,3.27
470,Palana,100,RU,1619290375,97,59.1167,159.9667,25.61,9.66
471,Ozernovskiy,100,RU,1619290376,99,51.5,156.5167,33.64,5.93
472,Boyolangu,14,ID,1619290377,86,-8.1181,111.8935,73.29,0.2
473,Busca,53,IT,1619290379,48,44.5181,7.4743,64.4,3.44
474,Noumea,75,NC,1619290380,94,-22.2763,166.4572,78.01,2.3
475,Puerto Carreño,88,CO,1619290381,42,6.189,-67.4859,94.44,8.32
476,Fairview,1,US,1619290383,20,40.8126,-73.999,72.0,9.17
477,Macaé,0,BR,1619290266,69,-22.3708,-41.7869,80.6,10.36
478,Roebourne,0,AU,1619290385,38,-20.7833,117.1333,78.76,6.96
479,Belmonte,40,BR,1619290386,69,-15.8631,-38.8828,82.4,13.8
480,Marondera,47,ZW,1619290388,69,-18.1853,31.5519,58.35,3.56
481,San Rafael,10,AR,1619290234,43,-34.6177,-68.3301,67.91,7.67
482,Emerald,40,AU,1619290390,48,-23.5333,148.1667,62.6,10.36
483,Bondo,100,CD,1619290391,95,3.8146,23.6866,70.77,2.24
484,Nevel',23,RU,1619290393,80,56.0209,29.9284,32.61,5.41
485,Avera,90,US,1619290394,90,33.194,-82.5271,66.2,11.5
486,Zhezkazgan,91,KZ,1619290395,31,47.8043,67.7144,45.93,17.81
487,Rio Grande,20,BR,1619290215,61,-32.035,-52.0986,77.0,2.3
488,Zapolyarnyy,90,RU,1619290398,100,69.4154,30.8136,32.0,13.8
489,Barcelos,20,PT,1619290399,94,41.5388,-8.6151,62.01,2.3
490,Sinnamary,100,GF,1619290400,86,5.3833,-52.95,78.3,12.33
491,Novokayakent,2,RU,1619290402,87,42.3937,47.9861,46.4,4.47
492,Santa Rosalía,37,MX,1619290403,25,27.3167,-112.2833,76.55,6.98
493,Coxim,100,BR,1619290404,19,-18.5067,-54.76,96.6,5.66
494,Achit,100,RU,1619290405,77,56.7985,57.8994,40.46,7.67
495,Paranaíba,6,BR,1619290407,23,-19.6772,-51.1908,88.72,0.63
496,Krasne,0,UA,1619290408,81,49.9145,24.6134,37.4,3.2
497,Caucayá,100,CO,1619290409,77,-0.1934,-74.7819,84.6,1.63
498,Havre-St-Pierre,20,CA,1619290411,70,50.2334,-63.5986,44.6,24.16
499,‘Āhuimanu,40,US,1619290412,69,21.4447,-157.8378,78.8,12.66
500,Hobyo,55,SO,1619290413,69,5.3505,48.5268,84.2,12.84
501,Chumikan,20,RU,1619290414,76,54.7183,135.315,22.87,9.55
502,Ambovombe,0,MG,1619290416,80,-25.1667,46.0833,71.24,10.27
503,Esil,100,KZ,1619290417,40,51.9556,66.4042,47.88,17.98
504,Eyl,64,SO,1619290418,73,7.9803,49.8164,83.39,9.35
505,Ilebo,92,CD,1619290419,98,-4.3167,20.5833,71.87,2.28
506,Umba,100,RU,1619290421,97,66.6871,34.3429,35.49,9.19
507,Atambua,11,ID,1619290156,87,-9.1061,124.8925,70.7,4.97
508,Brae,71,GB,1619290423,76,60.3964,-1.353,44.6,10.36
509,Kadrina,94,EE,1619290424,96,59.3347,26.145,32.77,3.49
510,Bilma,3,NE,1619290426,9,18.6853,12.9164,93.6,10.16
511,Puerto Madryn,8,AR,1619290427,39,-42.7692,-65.0385,61.81,4.09
512,Gogrial,98,SS,1619290428,33,8.5332,28.1004,92.84,1.79
513,Kousséri,97,CM,1619290430,20,12.0769,15.0306,95.85,5.5
514,Lafiagi,96,NG,1619290431,59,8.8667,5.4167,79.9,12.82
515,Idukki,100,IN,1619290432,92,9.85,76.9667,71.04,3.18
516,Kathu,20,TH,1619290433,83,7.9178,98.3332,87.01,10.36
517,Chelno-Vershiny,82,RU,1619290435,92,54.4333,51.1,43.14,9.31
518,Sola,100,VU,1619290436,76,-13.8833,167.55,82.38,17.0
519,Srandakan,15,ID,1619290438,82,-7.9386,110.2506,75.34,3.33
520,Kununurra,9,AU,1619290382,77,-15.7667,128.7333,57.2,5.64
521,Magalia,75,US,1619290440,47,39.8121,-121.5783,61.0,17.27
522,Sittwe,87,MM,1619290441,76,20.15,92.9,80.64,10.27
523,Yarkovo,100,RU,1619290443,54,57.4028,67.0786,42.69,6.17
524,Jiuquan,100,CN,1619290444,35,39.7432,98.5174,51.19,3.87
525,Izumo,75,JP,1619290445,94,35.3667,132.7667,53.6,2.3
526,Yendi,100,GH,1619290446,62,9.4427,-0.0099,82.94,6.29
527,Atlantic City,1,US,1619290441,25,39.3643,-74.4229,64.4,18.41
528,Jalu,0,LY,1619290449,54,29.0331,21.5482,68.9,25.21
529,Shirokiy,9,RU,1619290450,75,49.758,129.523,31.68,8.46
530,Châteauroux,0,FR,1619290452,37,46.8167,1.7,68.0,8.05
531,Trincomalee,59,LK,1619290453,75,8.5711,81.2335,82.72,5.32
532,Kaseda-shirakame,1,JP,1619290454,82,31.4167,130.3167,60.15,5.97
533,Diego de Almagro,0,CL,1619290455,30,-26.3667,-70.05,72.21,11.61
534,Basco,32,PH,1619290457,73,20.4487,121.9702,75.76,10.36
535,Harper,92,LR,1619290458,78,4.375,-7.7169,82.33,10.07
536,Pastavy,97,BY,1619290459,77,55.1168,26.8326,34.52,9.17
537,Barabai,10,ID,1619290460,85,-2.5833,115.3833,73.74,1.57
538,Vostok,8,RU,1619290462,44,46.4856,135.8833,26.85,8.48
539,Guía de Isora,20,ES,1619290463,35,28.2115,-16.7795,75.2,11.5
540,Port Lincoln,0,AU,1619290464,71,-34.7333,135.8667,57.56,4.03
541,Mountain Home,90,US,1619290466,94,43.133,-115.6912,53.6,11.5
542,Kanchanaburi,88,TH,1619290467,91,14.6333,99.1,75.63,3.67
543,Nālūt,0,LY,1619290468,34,30.3333,10.85,70.38,16.98
544,Şabrātah,0,LY,1619290470,74,32.7933,12.4885,61.77,8.23
545,Birjand,0,IR,1619290471,14,32.8663,59.2211,68.0,16.11
546,Quatre Cocos,75,MU,1619290472,83,-20.2078,57.7625,79.0,17.27
547,Gravelbourg,11,CA,1619290473,19,49.8834,-106.5512,42.8,3.44
548,Bokoro,65,TD,1619290475,20,12.3807,17.0568,93.02,4.5
549,Marystown,94,CA,1619290476,82,47.1666,-55.1483,40.98,18.21
550,Kostomuksha,100,RU,1619290477,92,64.571,30.5767,35.89,4.79
551,Salisbury,8,GB,1619290478,41,51.0693,-1.7957,59.0,16.11
552,Kudahuvadhoo,7,MV,1619290480,66,2.6708,72.8944,83.16,8.1
553,Praia,75,CV,1619290481,57,14.9215,-23.5087,75.2,19.57
554,Sechura,7,PE,1619290482,56,-5.5569,-80.8222,80.6,13.87
